nconst,primaryName
nm0001276,Jackie Gleason
nm0001277,Scott Glenn
nm0001278,John Glover
nm0001281,Bobcat Goldthwait
nm0001282,Tony Goldwyn
nm0001283,Louis Gossett Jr.
nm0001284,Michael Gough
nm0001285,Elliott Gould
nm0001288,Kelsey Grammer
nm0001289,Stewart Granger
nm0001290,Richard E. Grant
nm0001291,Rupert Graves
nm0001293,Seth Green
nm0001295,Graham Greene
nm0001296,Lorne Greene
nm0001297,Joel Grey
nm0001298,Richard Grieco
nm0001299,Thomas Ian Griffith
nm0001301,Charles Grodin
nm0001302,Christopher Guest
nm0001304,Fred Gwynne
nm0001305,Lukas Haas
nm0001306,Larry Hagman
nm0001308,Alan Hale Jr.
nm0001309,Anthony Michael Hall
nm0001310,Kevin Peter Hall
nm0001311,Philip Baker Hall
nm0001313,George Hamilton
nm0001314,John Hannah
nm0001319,Mark Harmon
nm0001321,Richard Harris
nm0001322,Rex Harrison
nm0001324,Ian Hart
nm0001326,Josh Hartnett
nm0001327,David Hasselhoff
nm0001329,Nigel Hawthorne
nm0001330,Sterling Hayden
nm0001332,Robert Hays
nm0001334,John Heard
nm0001336,Van Heflin
nm0001344,Gregg Henry
nm0001345,Jim Henson
nm0001346,Edward Herrmann
nm0001348,Werner Herzog
nm0001350,Benny Hill
nm0001352,Terence Hill
nm0001354,Ciarán Hinds
nm0001356,Hulk Hogan
nm0001357,Paul Hogan
nm0001358,Hal Holbrook
nm0001359,Sterling Holloway
nm0001364,Bob Hoskins
nm0001366,Leslie Howard
nm0001367,C. Thomas Howell
nm0001368,Ernie Hudson
nm0001369,Rock Hudson
nm0001371,Tom Hulce
nm0001374,Jeffrey Hunter
nm0001379,John Huston
nm0001380,Jim Hutton
nm0001383,David Hyde Pierce
nm0001384,Ice-T
nm0001385,Eric Idle
nm0001389,Chris Isaak
nm0001391,Michael Jackson
nm0001392,Peter Jackson
nm0001394,Derek Jacobi
nm0001395,Richard Jaeckel
nm0001396,Mick Jagger
nm0001397,Brion James
nm0001402,Terry Jones
nm0001408,Shekhar Kapur
nm0001409,Tchéky Karyo
nm0001411,William Katt
nm0001414,Danny Kaye
nm0001417,Brian Keith
nm0001418,David Keith
nm0001420,DeForest Kelley
nm0001421,George Kennedy
nm0001423,Richard Kiel
nm0001424,Udo Kier
nm0001426,Ben Kingsley
nm0001427,Greg Kinnear
nm0001428,Klaus Kinski
nm0001429,Takeshi Kitano
nm0001430,Jack Klugman
nm0001431,Wayne Knight
nm0001432,Charlie Korsmo
nm0001433,Yaphet Kotto
nm0001434,Kris Kristofferson
nm0001439,Anthony LaPaglia
nm0001445,Martin Landau
nm0001447,Nathan Lane
nm0001449,Frank Langella
nm0001452,Charles Laughton
nm0001454,Martin Lawrence
nm0001455,Matt LeBlanc
nm0001457,James Le Gros
nm0001459,Denis Leary
nm0001462,Jason Scott Lee
nm0001467,Jared Leto
nm0001469,Barry Levinson
nm0001471,Jerry Lewis
nm0001472,Jet Li
nm0001474,Tom Lister Jr.
nm0001475,John Lithgow
nm0001476,Cleavon Little
nm0001484,Jon Lovitz
nm0001487,John Lynch
nm0001489,Paul Lynde
nm0001492,Kyle MacLachlan
nm0001493,Peter MacNicol
nm0001494,Ralph Macchio
nm0001495,Patrick Macnee
nm0001497,Tobey Maguire
nm0001498,John Mahoney
nm0001500,Karl Malden
nm0001504,Marilyn Manson
nm0001505,Joe Mantegna
nm0001507,Cheech Marin
nm0001509,Dean Martin
nm0001510,Strother Martin
nm0001511,Lee Marvin
nm0001513,Tim Matheson
nm0001514,Victor Mature
nm0001515,Joseph Mazzello
nm0001518,Dylan McDermott
nm0001519,Ian McDiarmid
nm0001520,Christopher McDonald
nm0001522,Roddy McDowall
nm0001524,Paul McGann
nm0001525,John C. McGinley
