tconst,nconst,character
tt0025452,nm0165061,Binstead
tt0025452,nm0193633,Gibson
tt0025878,nm0001635,Nick Charles
tt0025878,nm0671738,Lt. John Guild
tt0025878,nm0356004,Herbert MacCaulay
tt0025878,nm0905622,Tommy
tt0025878,nm0378026,Gilbert Wynant
tt0025878,nm0399346,Nunheim
tt0025878,nm0003110,Chris Jorgenson
tt0026029,nm0232196,Hannay
tt0026029,nm0853607,Professor Jordan
tt0026029,nm0491406,Crofter
tt0026029,nm0148144,The Sheriff
tt0026029,nm0914931,Memory
tt0026029,nm0573790,Commercial Traveller
tt0026138,nm0000472,The Monster
tt0026138,nm0166972,Henry Frankenstein
tt0026138,nm0857658,Doctor Pretorius
tt0026138,nm0330200,Lord Byron
tt0026138,nm0910498,Percy Bysshe Shelley
tt0026138,nm0166974,Burgomaster
tt0026138,nm0698139,Butler
tt0026174,nm0001224,Peter Blood
tt0026174,nm0041172,Colonel Bishop
tt0026174,nm0001651,Levasseur
tt0026174,nm0018717,Jeremy Pitt
tt0026174,nm0452128,Hagthorpe
tt0026174,nm0827261,Lord Willoughby
tt0026174,nm0056719,Wolverstone
tt0026174,nm0146928,Dr. Bronson
tt0026174,nm0576083,Dr. Whacker
tt0026752,nm0001452,Captain Bligh
tt0026752,nm0000022,Fletcher Christian
tt0026752,nm0867144,Roger Byam
tt0026752,nm0612743,Smith
tt0026752,nm0703600,Ellison
tt0026752,nm0226502,Bacchus
tt0026752,nm0187981,Burkitt
tt0026752,nm0827261,Sir Joseph Banks
tt0026752,nm0514250,Captain Nelson
tt0026778,nm0000050,Otis B. Driftwood
tt0026778,nm0555597,Fiorello
tt0026778,nm0555617,Tomasso
tt0026778,nm0427452,Riccardo Barone
tt0026778,nm0455373,Rudolfo Lassparri
tt0026778,nm0750079,Herman Gottlieb
tt0026778,nm0443849,Ship's Captain
tt0026778,nm0640495,Police Sergeant Henderson
tt0027125,nm0000001,Jerry Travers
tt0027125,nm0002143,Horace Hardwick
tt0027125,nm0722424,Alberto Beddini
tt0027125,nm0089314,Bates
tt0027125,nm0010468,London Hotel Clerk
tt0027125,nm4942919,Minor Role
tt0027125,nm4185833,Club Member
tt0027260,nm0001635,Nick Charles
tt0027260,nm0000071,David Graham
tt0027260,nm0130407,'Dancer'
tt0027260,nm0550701,Robert Landis
tt0027260,nm0366547,Casper
tt0027260,nm0505249,Abrams
tt0027532,nm0404158,Sam Dodsworth
tt0027532,nm0510134,Arnold Iselin
tt0027532,nm0000057,Captain Lockert
tt0027532,nm0310843,Kurt Von Obersdorf
tt0027532,nm0109034,Tubby Pearson
tt0027652,nm0000075,Joe Wilson
tt0027652,nm0008496,District Attorney
tt0027652,nm0127677,Kirby Dawson
tt0027652,nm0254818,Sheriff
tt0027652,nm0000974,'Bugs' Meyers
tt0027652,nm0007214,Charlie
tt0027652,nm0906965,Tom
tt0027652,nm0831736,Durkin
tt0027652,nm0908797,Fred Garrett
tt0027977,nm0000122,A Factory Worker
tt0027977,nm0074788,Cafe Proprietor
tt0027977,nm0761866,Big Bill
tt0027977,nm0174682,Mechanic
tt0027977,nm0003424,Burglar
tt0027977,nm0090008,Gamin's Father
tt0027977,nm0305087,President of the Electro Steel Corp.
tt0027977,nm0018685,Prison Cellmate
tt0027977,nm0721637,Minister
tt0027996,nm0000011,Longfellow Deeds Semple
tt0027996,nm0051628,MacWade
tt0027996,nm0822034,Cornelius Cobb 'Corny'
tt0027996,nm0241523,John Cedar
tt0027996,nm0906940,Walter
tt0027996,nm0912478,Judge May
tt0027996,nm0146185,Morrow
tt0027996,nm0942046,Farmer
tt0028010,nm0001635,Godfrey
tt0028010,nm0657874,Alexander Bullock
tt0028010,nm0610253,Tommy Gray
tt0028010,nm0041681,Carlo
tt0028010,nm0280900,Mike Flaherty
tt0028010,nm0509941,Faithful George
tt0028096,nm0001366,Alan Squier
tt0028096,nm0000007,Duke Mantee
tt0028096,nm0285264,Boze Hertzlinger
tt0028096,nm0768178,Jackie
tt0028096,nm0356004,Jason Maple
tt0028096,nm0335788,Gramp Maple
tt0028096,nm0367670,Mr. Chisholm
