tconst,nconst,characterName
tt0022835,nm0387556,Muriel Carew
tt0022835,nm0378555,Dr. Lanyon
tt0022835,nm0387561,Brigadier-General Carew
tt0022835,nm0636199,Poole
tt0022835,nm0683114,Mrs. Hawkins
tt0022835,nm0010468,Ivy's Admirer at Music Hall
tt0022835,nm0011009,Pub Patron
tt0022835,nm0066724,Party Guest
tt0022913,nm0285922,Phroso
tt0022913,nm0404885,Venus
tt0022913,nm0045754,Cleopatra
tt0022913,nm0040374,Roscoe
tt0022913,nm0896109,Hercules
tt0022913,nm0247361,Hans
tt0022913,nm0247360,Frieda
tt0022913,nm0227946,Madame Tetrallini
tt0022913,nm0385238,Siamese Twin
tt0022913,nm0385319,Siamese Twin
tt0022958,nm0001256,Grusinskaya
tt0022958,nm0000858,Baron Felix von Geigern
tt0022958,nm0001076,Flaemmchen
tt0022958,nm0000891,General Director Preysing
tt0022958,nm0000859,Otto Kringelein
tt0022958,nm0832011,Doctor Otternschlag
tt0022958,nm0380965,Senf
tt0022958,nm0574743,Meierheim
tt0022958,nm0695525,Zinnowitz
tt0022958,nm0332036,Pimenov
tt0023027,nm0000050,Professor Quincy Adams Wagstaff
tt0023027,nm0555597,Baravelli
tt0023027,nm0555617,Pinky
tt0023027,nm2580347,\N
tt0023027,nm0555688,Frank Wagstaff
tt0023027,nm0865298,Connie Bailey
tt0023027,nm0484439,Jennings
tt0023027,nm0053354,Speakeasy Patron
tt0023027,nm0055275,Retiring College President
tt0023027,nm0055998,Speakeasy Patron
tt0023042,nm0612847,James Allen
tt0023042,nm0268225,Marie
tt0023042,nm0899091,Helen
tt0023042,nm0290271,Linda
tt0023042,nm0288003,Pete
tt0023042,nm0420765,Barney Sykes
tt0023042,nm0161414,The Judge
tt0023042,nm0254818,Bomber Wells
tt0023042,nm0484439,The Warden
tt0023042,nm0357894,Rev. Robert Allen
tt0023238,nm0566948,Bob
tt0023238,nm0942039,Eve
tt0023238,nm0052203,Count Zaroff
tt0023238,nm0035877,Martin
tt0023238,nm0425903,Ivan
tt0023238,nm0166170,Tartar
tt0023238,nm0203527,Captain
tt0023238,nm0376681,Tartar Servant
tt0023238,nm0281329,First Mate on Yacht
tt0023238,nm0336455,Passenger on Yacht
tt0023245,nm0000472,Imhotep
tt0023245,nm0423685,Helen Grosvenor
tt0023245,nm0543115,Frank Whemple
tt0023245,nm0126365,Sir Joseph Whemple
tt0023245,nm0888000,Doctor Muller
tt0023245,nm0281955,Ralph Norton
tt0023245,nm0425903,The Nubian
tt0023245,nm0126403,Frau Muller
tt0023245,nm0610950,Professor Pearson
tt0023245,nm0186362,The Pharoh
tt0023427,nm0612847,Tony
tt0023427,nm0245304,Cesca
tt0023427,nm0605904,Poppy
tt0023427,nm0674019,Lovo
tt0023427,nm0330059,Guarino
tt0023427,nm0706368,Rinaldo
tt0023427,nm0055998,Angelo
tt0023427,nm0000472,Gaffney
tt0023427,nm0695525,Publisher
tt0023427,nm0551222,Managing Editor
tt0023563,nm0459030,Dr. Mabuse
tt0023563,nm0921532,Inspector Karl Lohmann
tt0023563,nm0099786,Professeur Baum
tt0023563,nm0226158,Thomas Kent
tt0023563,nm0771869,Hardy
tt0023563,nm0313899,Commissaire Lohmann
tt0023563,nm0405802,Bredow
tt0023563,nm0003586,Karetzky
tt0023563,nm0738331,Lilli
tt0023563,nm0537629,Thomas Kent
tt0023622,nm0394244,Lily
tt0023622,nm0290215,Mariette Colet
tt0023622,nm0003339,Gaston Monescu
tt0023622,nm0749476,The Major
tt0023622,nm0002143,François Filiba
tt0023622,nm0807580,Adolph J. Giron
tt0023622,nm0340063,Jacques (the Butler)
tt0023622,nm0016422,Annoyed Opera Fan
tt0023622,nm0040341,Insurance Agent
tt0023622,nm0111751,Commercial Singer
tt0023649,nm0922170,Allan Grey
tt0023649,nm0776914,Der Schlossherr (The Lord of the Manor)
tt0023649,nm0541675,Gisèle
tt0023649,nm0773525,Léone
tt0023649,nm0383188,Der Dorfarzt (The Village Doctor)
tt0023649,nm0350797,Die alte Frau vom Friedhof (The Old Woman from the Cemetery)
tt0023649,nm0105331,Der alte Diener (The Old Servant)
tt0023649,nm0044744,Seine Frau (His Wife)
tt0023649,nm0602285,Die Krankenschwester (The Nurse)
tt0023649,nm3638210,Limping Man
tt0023969,nm0000050,Rufus T. Firefly
