tconst,titleType,year,primaryTitle,originalTitle,runtimeMinutes,genres,averageRating,numVotes
tt0205271,movie,2000,Dr. T & the Women,Dr. T & the Women,122,"Comedy,Drama,Romance",4.6,17230
tt0253997,movie,1977,The King of the Street Cleaners,Çöpçüler Krali,80,"Comedy,Romance",8.6,17215
tt7634968,movie,2019,What Men Want,What Men Want,117,"Comedy,Fantasy,Romance",5.2,17208
tt1229827,movie,2009,Jonas Brothers: The 3D Concert Experience,Jonas Brothers: The 3D Concert Experience,76,"Documentary,Music",1.6,17206
tt5360952,movie,2018,The Hurricane Heist,The Hurricane Heist,103,"Action,Adventure,Crime",5.1,17198
tt0804452,movie,2007,Bratz,Bratz,110,"Comedy,Family,Music",3.0,17172
tt1447500,movie,2009,Magadheera,Magadheera,147,"Action,Drama,Fantasy",7.6,17171
tt0293007,movie,2003,Carandiru,Carandiru,145,"Crime,Drama",7.6,17169
tt0109759,movie,1994,Exotica,Exotica,103,Drama,7.0,17161
tt0400234,movie,2004,Black Friday,Black Friday,143,"Action,Crime,Drama",8.5,17152
tt0074102,movie,1976,In the Realm of the Senses,Ai no korîda,109,"Drama,Romance",6.6,17150
tt0070518,movie,1973,Pat Garrett & Billy the Kid,Pat Garrett & Billy the Kid,122,"Biography,Drama,Western",7.3,17149
tt2980472,movie,2014,Just Before I Go,Just Before I Go,95,"Comedy,Drama",6.4,17147
tt0049902,movie,1956,A Man Escaped,Un condamné à mort s'est échappé ou Le vent souffle où il veut,101,Drama,8.3,17145
tt0310357,movie,2003,Willard,Willard,100,"Drama,Horror,Sci-Fi",6.1,17130
tt1781069,movie,2011,Zeitgeist: Moving Forward,Zeitgeist: Moving Forward,161,Documentary,8.2,17125
tt0195234,movie,2000,Saving Grace,Saving Grace,93,"Comedy,Crime",6.9,17124
tt0014429,movie,1923,Safety Last!,Safety Last!,74,"Action,Comedy,Thriller",8.1,17119
tt0402057,movie,2005,Beowulf & Grendel,Beowulf & Grendel,103,"Action,Adventure,Drama",5.8,17107
tt0422091,movie,2004,Dhoom,Dhoom,129,"Action,Thriller",6.7,17103
tt7642818,movie,2017,Aile Arasinda,Aile Arasinda,124,Comedy,7.8,17087
tt0246989,movie,2001,Tomcats,Tomcats,95,Comedy,5.4,17086
tt0425333,movie,2005,Pardon,Pardon,94,"Comedy,Drama",8.2,17083
tt2258858,movie,2012,Wadjda,Wadjda,98,"Comedy,Drama",7.5,17082
tt2582576,movie,2017,Sand Castle,Sand Castle,113,"Drama,War",6.3,17081
tt3137630,movie,2016,David Brent: Life on the Road,David Brent: Life on the Road,96,"Comedy,Music",6.3,17075
tt0116324,movie,1996,Flirting with Disaster,Flirting with Disaster,92,Comedy,6.7,17070
tt7139936,movie,2019,A Rainy Day in New York,A Rainy Day in New York,92,"Comedy,Romance",6.6,17070
tt10324144,movie,2019,Article 15,Article 15,130,"Crime,Drama",8.2,17070
tt2249221,movie,2013,Zulu,Zulu,110,"Crime,Drama,Thriller",6.7,17068
tt0252490,movie,1977,The Chaos Class Is Waking Up,Hababam Sinifi Uyaniyor,94,Comedy,8.8,17068
