tconst,year,primaryTitle,originalTitle,runtimeMinutes,genres,averageRating
tt9243946,2019,El Camino: A Breaking Bad Movie,El Camino: A Breaking Bad Movie,122,"Action,Crime,Drama",7.4
tt0061512,1967,Cool Hand Luke,Cool Hand Luke,127,"Crime,Drama",8.1
tt1277953,2012,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,93,"Adventure,Animation,Comedy",6.8
tt0140352,1999,The Insider,The Insider,157,"Biography,Drama,Thriller",7.8
tt1821694,2013,RED 2,RED 2,116,"Action,Comedy,Crime",6.6
tt2316411,2013,Enemy,Enemy,91,"Drama,Mystery,Thriller",6.9
tt0454841,2006,The Hills Have Eyes,The Hills Have Eyes,107,"Horror,Thriller",6.4
tt0986264,2007,Like Stars on Earth,Taare Zameen Par,165,"Drama,Family",8.4
tt0078346,1978,Superman,Superman,143,"Action,Adventure,Drama",7.3
tt0327084,2006,Over the Hedge,Over the Hedge,83,"Adventure,Animation,Comedy",6.7
tt1155076,2010,The Karate Kid,The Karate Kid,140,"Action,Drama,Family",6.2
tt0053604,1960,The Apartment,The Apartment,125,"Comedy,Drama,Romance",8.3
tt2935510,2019,Ad Astra,Ad Astra,123,"Adventure,Drama,Mystery",6.6
tt2873282,2018,Red Sparrow,Red Sparrow,140,"Action,Drama,Thriller",6.6
tt0215129,2000,Road Trip,Road Trip,93,Comedy,6.4
tt0094625,1988,Akira,Akira,124,"Animation,Drama,Sci-Fi",8.0
tt2239822,2017,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,137,"Action,Adventure,Fantasy",6.5
tt1129442,2008,Transporter 3,Transporter 3,104,"Action,Thriller",6.1
tt0445934,2007,Blades of Glory,Blades of Glory,93,"Comedy,Sport",6.3
tt0050976,1957,The Seventh Seal,Det sjunde inseglet,96,"Drama,Fantasy",8.2
tt1139328,2010,The Ghost Writer,The Ghost Writer,128,"Drama,Mystery,Thriller",7.2
tt0465538,2007,Michael Clayton,Michael Clayton,119,"Crime,Drama,Mystery",7.2
tt0017136,1927,Metropolis,Metropolis,153,"Drama,Sci-Fi",8.3
tt0091064,1986,The Fly,The Fly,96,"Drama,Horror,Sci-Fi",7.5
tt0990407,2011,The Green Hornet,The Green Hornet,119,"Action,Comedy",5.8
tt5083738,2018,The Favourite,The Favourite,119,"Biography,Comedy,Drama",7.6
tt0106697,1993,Demolition Man,Demolition Man,115,"Action,Sci-Fi,Thriller",6.7
tt1288558,2013,Evil Dead,Evil Dead,91,"Fantasy,Horror,Thriller",6.5
tt0108160,1993,Sleepless in Seattle,Sleepless in Seattle,105,"Comedy,Drama,Romance",6.8
tt0041959,1949,The Third Man,The Third Man,104,"Film-Noir,Mystery,Thriller",8.1
tt0104714,1992,Lethal Weapon 3,Lethal Weapon 3,118,"Action,Crime,Thriller",6.7
tt1661199,2015,Cinderella,Cinderella,105,"Drama,Family,Fantasy",6.9
tt0120744,1998,The Man in the Iron Mask,The Man in the Iron Mask,132,"Action,Adventure,Drama",6.5
tt0380510,2009,The Lovely Bones,The Lovely Bones,135,"Drama,Fantasy,Thriller",6.7
tt0177971,2000,The Perfect Storm,The Perfect Storm,130,"Action,Adventure,Drama",6.4
tt2170439,2014,Horrible Bosses 2,Horrible Bosses 2,108,"Comedy,Crime",6.3
tt0117705,1996,Space Jam,Space Jam,88,"Adventure,Animation,Comedy",6.4
tt1446192,2012,Rise of the Guardians,Rise of the Guardians,97,"Action,Adventure,Animation",7.3
tt0058331,1964,Mary Poppins,Mary Poppins,139,"Comedy,Family,Fantasy",7.8
tt1469304,2017,Baywatch,Baywatch,116,"Action,Comedy,Crime",5.5
tt0120082,1997,Scream 2,Scream 2,120,"Horror,Mystery",6.2
tt0832266,2008,"Definitely, Maybe","Definitely, Maybe",112,"Comedy,Drama,Romance",7.1
tt0119081,1997,Event Horizon,Event Horizon,96,"Horror,Sci-Fi,Thriller",6.7
tt0424136,2005,Hard Candy,Hard Candy,104,"Drama,Thriller",7.1
tt0498380,2006,Letters from Iwo Jima,Letters from Iwo Jima,141,"Action,Adventure,Drama",7.9
tt1411250,2013,Riddick,Riddick,119,"Action,Adventure,Sci-Fi",6.4
tt0285823,2003,Once Upon a Time in Mexico,Once Upon a Time in Mexico,102,"Action,Crime,Thriller",6.4
tt1091722,2009,Adventureland,Adventureland,107,"Comedy,Drama,Romance",6.8
tt1216475,2011,Cars 2,Cars 2,106,"Adventure,Animation,Comedy",6.1
tt0988595,2008,27 Dresses,27 Dresses,111,"Comedy,Romance",6.1
